number,tomb,cemetery,material,shape,category,period,ave_date,century,tomb_century,tomb_period,assemblage
1,VI,FOR,Clay,Pithos,Pithos,PG-EO,820,9th,10th,PG,31
2,VI,FOR,Clay,Stirrup jar,Oil vessel,SM-LPG,970,10th,10th,PG,31
3,VI,FOR,Clay,Krater,Mixing Vessel,PG,890,9th,10th,PG,32
4,VI,FOR,Clay,Krateriskos,Drinking vessel,EPG,945,10th,10th,PG,32
5,VI,FOR,Clay,Kalathos,Other,SM-LPG,970,10th,10th,PG,33
6,VI,FOR,Clay,Kalathos,Other,SM-LPG,970,10th,10th,PG,33
7,VI,FOR,Clay,Jar,Other,,,,10th,PG,34
8,VI,FOR,Clay,Krateriskos,Drinking vessel,EPG,945,10th,10th,PG,261
9,VI,FOR,Clay,Skyphos,Drinking vessel,PG,890,9th,10th,PG,34
10,VI,FOR,Clay,Skyphos,Drinking vessel,PG,890,9th,10th,PG,34
11,VI,FOR,Clay,Cup,Drinking vessel,SM-LPG,970,10th,10th,PG,34
12,VI,FOR,Clay,Cup,Drinking vessel,SM-LPG,970,10th,10th,PG,34
13,VI,FOR,Clay,Jug,Jug,PG,890,9th,10th,PG,35
14,VI,FOR,Clay,Bowl,Other,SM-LPG,970,10th,10th,PG,35
15,VI,FOR,Clay,Kalathos,Other,SM-LPG,970,10th,10th,PG,36
16,VI,FOR,Clay,Kalathos,Other,SM-LPG,970,10th,10th,PG,36
17,VI,FOR,Clay,Tray,Other,PG,890,9th,10th,PG,36
18,VI,FOR,Clay,Stirrup jar,Oil vessel,SM-LPG,970,10th,10th,PG,37
19,VI,FOR,Clay,Lekythos,Oil vessel,EPG,945,10th,10th,PG,37
20,VI,FOR,Clay,Jar,Other,EPG,945,10th,10th,PG,37
21,VI,FOR,Clay,Cup,Drinking vessel,SM-LPG,970,10th,10th,PG,37
22,VI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,37
23,VI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,37
24,VI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,37
25,VI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,37
26,VI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,37
27,VI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,38
28,VI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,38
29,VI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,38
30,VI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,38
31,VI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,38
32,Theta,FOR,Clay,Pithos,Pithos,PG,890,9th,10th,PG,95
33,Theta,FOR,Clay,Stirrup jar,Oil vessel,EPG-LPG,905,10th,10th,PG,95
34,Theta,FOR,Clay,Oinochoe,Jug,SM-EPG,1010,11th,10th,PG,95
35,Theta,FOR,Clay,Amphora,Amphora,EPG-LPG,905,10th,10th,PG,96
36,Theta,FOR,Clay,Krater,Mixing Vessel,PG,890,9th,10th,PG,96
37,Theta,FOR,Clay,Amphora,Amphora,PG,890,9th,10th,PG,97
38,Theta,FOR,Clay,Jar,Other,,,,10th,PG,97
39,Theta,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,97
40,Theta,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,97
41,Theta,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,97
42,Theta,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,97
43,Theta,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,97
44,Theta,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,97
45,Theta,FOR,Clay,Pithos,Pithos,PG,890,9th,10th,PG,98
46,Theta,FOR,Clay,Krateriskos,Drinking vessel,EPG,945,10th,10th,PG,98
47,Theta,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,10th,PG,98
48,Theta,FOR,Clay,Krater,Mixing Vessel,SM-LPG,970,10th,10th,PG,98
49,XI,FOR,Clay,Amphora,Amphora,EPG-LPG,905,10th,9th,LPG,84
50,XI,FOR,Clay,Stirrup jar,Oil vessel,LPG,857.5,9th,9th,LPG,84
51,XI,FOR,Clay,Jug,Jug,PG,890,9th,9th,LPG,84
52,XI,FOR,Clay,Pithos,Pithos,PG-EO,820,9th,9th,LPG,85
53,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,85
54,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,85
55,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,85
56,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,85
57,XI,FOR,Clay,Amphora,Amphora,EPG,945,10th,9th,LPG,87
58,XI,FOR,Clay,Stirrup jar,Oil vessel,SM-LPG,970,10th,9th,LPG,87
59,XI,FOR,Clay,Krateriskos,Drinking vessel,EPG,945,10th,9th,LPG,87
60,XI,FOR,Clay,Amphora,Amphora,EPG-LPG,905,10th,9th,LPG,88
61,XI,FOR,Clay,Stirrup jar,Oil vessel,SM-LPG,970,10th,9th,LPG,88
62,XI,FOR,Clay,Krater,Mixing Vessel,PG,890,9th,9th,LPG,263
63,XI,FOR,Clay,Kalathos,Other,SM-LPG,970,10th,9th,LPG,89
64,XI,FOR,Clay,Jar,Other,EPG,945,10th,9th,LPG,89
65,XI,FOR,Clay,Krateriskos,Drinking vessel,,,,9th,LPG,89
66,XI,FOR,Clay,Krater,Mixing Vessel,EPG,945,10th,9th,LPG,90
67,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,90
68,XI,FOR,Clay,Krater,Mixing Vessel,EPG,945,10th,9th,LPG,91
69,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,91
70,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,91
71,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,91
72,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,91
73,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,91
74,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,91
75,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,91
76,XI,FOR,Clay,Krateriskos,Drinking vessel,PG,890,9th,9th,LPG,91
77,XI,FOR,Clay,Krater,Mixing Vessel,EPG,945,10th,9th,LPG,91
78,XI,FOR,Clay,Stirrup jar,Oil vessel,SM-LPG,970,10th,9th,LPG,91
79,XI,FOR,Clay,Amphora,Amphora,EPG-LPG,905,10th,9th,LPG,92
80,XI,FOR,Clay,Stirrup jar,Oil vessel,SM-LPG,970,10th,9th,LPG,92
81,XI,FOR,Clay,Amphora,Amphora,EPG-LPG,905,10th,9th,LPG,93
82,XI,FOR,Clay,Jug,Jug,EPG,945,10th,9th,LPG,93
83,XI,FOR,Clay,Amphora,Amphora,PG,890,9th,9th,LPG,94
84,XI,FOR,Clay,Skyphos,Drinking vessel,EPG,945,10th,9th,LPG,94
85,IV,FOR,Clay,Krater,Mixing Vessel,PG-PGB,890,9th,10th,PG,27
86,IV,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,27
87,IV,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,27
88,IV,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,27
89,IV,FOR,Clay,Oinochoe,Jug,MPG,897.5,9th,10th,PG,27
90,V,FOR,Clay,Krater,Mixing Vessel,MPG,897.5,9th,10th,PG,28
91,V,FOR,Clay,Pithos,Pithos,PG-PGB,890,9th,10th,PG,29
92,V,FOR,Clay,Lid,Lid,PG-EG,880,9th,10th,PG,29
93,V,FOR,Clay,Amphora,Amphora,EPG-MPG,922.5,10th,10th,PG,30
94,V,FOR,Clay,Skyphos,Drinking vessel,PG-PGB,890,9th,10th,PG,30
95,V,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,28
96,V,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,28
97,V,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,28
98,V,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,28
99,V,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,28
100,V,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,28
101,V,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,28
102,V,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,28
103,V,FOR,Clay,Krateriskos,Drinking vessel,PG-PGB,890,9th,10th,PG,28
104,V,FOR,Clay,Jug,Jug,PG-PGB,890,9th,10th,PG,28
105,III,FOR,Clay,Pithos,Pithos,PG-PGB,890,9th,10th,PG,264
106,III,FOR,Clay,Pithos,Pithos,PG-PGB,890,9th,10th,PG,265
107,IX,FOR,Clay,Stirrup jar,Oil vessel,LPG,857.5,9th,10th,PG,61
108,IX,FOR,Clay,Krater,Mixing Vessel,PG,890,9th,10th,PG,61
109,L,FOR,Clay,Amphora,Amphora,Cycladic EG,857.5,9th,10th,PG,99
110,L,FOR,Clay,Askos,Other,LPG,857.5,9th,10th,PG,99
111,L,FOR,Clay,Skyphos,Drinking vessel,PG,890,9th,10th,PG,99
112,L,FOR,Clay,Jug,Jug,PG,890,9th,10th,PG,99
113,L,FOR,Clay,Jug,Jug,PG,890,9th,10th,PG,99
114,L,FOR,Clay,Oinochoe,Jug,LPG-LG,792.5,8th,10th,PG,99
115,L,FOR,Clay,Skyphos,Drinking vessel,PG,890,9th,10th,PG,99
116,L,FOR,Clay,Amphora,Amphora,EPG-LPG,905,10th,10th,PG,100
117,L,FOR,Clay,Askos,Other,LPG-PGB,842.5,9th,10th,PG,100
118,L,FOR,Clay,Pithos,Pithos,PG-EO,820,9th,10th,PG,268
119,L,FOR,Clay,Pithos,Pithos,PG-EG,880,9th,10th,PG,103
120,L,FOR,Clay,Pithos,Pithos,PG-EO,820,9th,10th,PG,101
121,L,FOR,Clay,Cup,Drinking vessel,LPG-MG,810,9th,10th,PG,101
122,L,FOR,Clay,Amphora,Amphora,EPG-LPG,905,10th,10th,PG,102
123,L,FOR,Clay,Skyphos,Drinking vessel,PG,890,9th,10th,PG,102
124,L,FOR,Clay,Stirrup jar,Oil vessel,LPG,857.5,9th,10th,PG,102
125,L,FOR,Clay,Stirrup jar,Oil vessel,LPG,857.5,9th,10th,PG,102
126,OD,FOR,Clay,Pithos,Pithos,PGB-EG,815,9th,9th,PGB,269
127,OD,FOR,Clay,Pithos,Pithos,PGB-EG,815,9th,9th,PGB,104
128,OD,FOR,Clay,Kalathos,Other,SM-LPG,970,10th,9th,PGB,104
129,OD,FOR,Clay,Pithos,Pithos,PG-EG,880,9th,9th,PGB,105
130,OD,FOR,Clay,Jug,Jug,LPG-PGB,842.5,9th,9th,PGB,105
131,OD,FOR,Clay,Pithos,Pithos,PGB-EG,815,9th,9th,PGB,106
132,OD,FOR,Clay,Lid,Lid,PGB-EO,755,8th,9th,PGB,106
133,OD,FOR,Clay,Jug,Jug,LPG-PGB,842.5,9th,9th,PGB,106
134,OD,FOR,Clay,Jug,Jug,LPG-PGB,842.5,9th,9th,PGB,106
135,OD,FOR,Clay,Skyphos,Drinking vessel,PG,890,9th,9th,PGB,107
136,OD,FOR,Clay,Cup,Drinking vessel,LPG-MG,810,9th,9th,PGB,107
137,OD,FOR,Clay,Skyphos,Drinking vessel,PGB,825,9th,9th,PGB,108
138,OD,FOR,Clay,Skyphos,Drinking vessel,PGB,825,9th,9th,PGB,108
139,OD,FOR,Clay,Skyphos,Drinking vessel,PGB,825,9th,9th,PGB,108
140,OD,FOR,Clay,Skyphos,Drinking vessel,PGB,825,9th,9th,PGB,108
141,OD,FOR,Clay,Jug,Jug,PGB-MG,792.5,8th,9th,PGB,108
142,OD,FOR,Clay,Pyxis,Other,LPG,857.5,9th,9th,PGB,109
143,OD,FOR,Clay,Tray,Other,PGB,825,9th,9th,PGB,109
144,OD,FOR,Clay,Oinochoe,Jug,PGB-MG,792.5,8th,9th,PGB,110
145,OD,FOR,Clay,Jug,Jug,LPG-PGB,842.5,9th,9th,PGB,110
146,OD,FOR,Clay,Jug,Jug,PGB-MG,792.5,8th,9th,PGB,110
147,LST,FOR,Clay,Pithos,Pithos,PG-EO,820,9th,10th,PG,111
148,LST,FOR,Clay,Pithos,Pithos,PG-EG,880,9th,10th,PG,112
