tomb,cemetery,cem_condensed,Tomb Type,SM,EPG,MPG,LPG,PGB,EG,MG,LG,EO,LO,start_period,tomb1100,tomb1090,tomb1080,tomb1070,tomb1060,tomb1050,tomb1040,tomb1030,tomb1020,tomb1010,tomb1000,tomb990,tomb980,tomb970,tomb960,tomb950,tomb940,tomb930,tomb920,tomb910,tomb900,tomb890,tomb880,tomb870,tomb860,tomb850,tomb840,tomb830,tomb820,tomb810,tomb800,tomb790,tomb780,tomb770,tomb760,tomb750,tomb740,tomb730,tomb720,tomb710,tomb700,tomb690,tomb680,tomb670,tomb660,tomb650,tomb640,tomb630,tomb620,tomb610
1,NC,NC,CT,0,0,0,0,0,0,1,0,0,0,MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,NC,NC,PC,1,0,0,0,0,0,0,0,0,0,SM,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NC,NC,CT,0,0,0,0,0,0,0,1,0,0,LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.285714286,0.285714286,0.285714286,0,0,0,0,0,0,0,0,0,0,0
9,NC,NC,PC?,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,NC,NC,CT,0,0,0,0,1,0,0,0,0,0,PGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,NC,NC,CT,0,0,0,0,0,0,0,1,0,0,LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.285714286,0.285714286,0.285714286,0,0,0,0,0,0,0,0,0,0,0
16,NC,NC,CT,1,0,0,0,0,0,0,0,0,0,SM,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,NC,NC,CT,1,0,0,0,0,0,0,0,0,0,SM,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NC,NC,CT,0,0,0,0,0,0,0,1,0,0,LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.285714286,0.285714286,0.285714286,0,0,0,0,0,0,0,0,0,0,0
24,NC,NC,CT,1,0,0,0,0,0,0,0,0,0,SM,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
