object_number,original_number,tomb,material,shape,full_name,category,open_closed,height,length,width_depth,diamter,rim_diamter,period,dating,import,import_origin,imitation,imitation_origin,antique
34,,Pi,Clay,Bead,Clay bead,Jewellery,,2,,,,,,,,,,,
35,,Pi,Iron,Pin,Fragments of iron pin,Adornment,,,,,,,,,,,,,
46,,VI,Bronze,Bowl,Bronze bowl,Vessel,O,,,,13,,,,,,,,
55,,VI,Bronze,Bowl,Bronze bowl,Vessel,O,,,,12,,,,,,,,
102,,VI,Paste,Necklace,White paste beads,Jewellery,,,,,0.7,,EPG,,Y,Near East? Egypt? Cyprus?,,,
103,,VI,Gold,Leaf,Fragments of gold leaf,Unidentified,,,,,,,,,,,,,
104,,VI,Bronze,Fibula,Bronze fibula fragment,Adornment,,6.2,4,0.5,,,,,,,,,
105,,VI,Gold,Strip,Fragment of gold strip,Strip,,,,7,1.5,,,,,,,,
106,,VI,Faience,Ring,Faience ring,Jewellery,,,1.5,,,,EPG,,Y,Egypt,,,
107,,VI,Faience,Bead,Fragmentary faience bead,Jewellery,,,1.5,,1.3,,EPG,,Y,Near East? Egypt? Cyprus?,,,
108,,VI,Iron,Obelos,Iron obelos/pike,Cooking,,,,,,,EPG,,Y?,Cyprus,Y?,Cyprus?,
109,,VI,Clay,Bead,Clay beads,Jewellery,,,,,,,,,,,,,
110,,VI,Gold,Pin,Gold pin,Adornment,,,10.8,,,,,,,,,,
110.1,110,VI,Gold,Pin,Gold pin,Adornment,,,10.8,,,,,,,,,,
111,,VI,Bone,Pin,Bone pin,Adornment,,,,,,,,,,,,,
112,,VI,Clay,Bead,Clay beads,Jewellery,,,1.8,,2.1,,,,,,,,
113,,VI,Clay,Bead,Clay beads,Jewellery,,,1.8,,2.1,,,,,,,,
114,,VI,Iron,Obelos,Iron obelos/spit,Cooking,,,,,,,EPG,,Y?,Cyprus,Y?,Cyprus?,
115,,VI,Stone,Pendant,Lunate steatite? Pendant,Jewellery,,,3.5,0.6,,,,,,,,,
116,,VI,Gold,Ring,Gold wire ring,Jewellery,,,,,1.4,,,,,,,,
116.1,116,VI,Gold,Ring,Gold wire ring,Jewellery,,,,,1.4,,,,,,,,
116.2,116,VI,Gold,Ring,Gold wire ring,Jewellery,,,,,1.8,,,,,,,,
116.3,116,VI,Gold,Ring,Gold wire ring,Jewellery,,,,,1.8,,,,,,,,
116.4,116,VI,Gold,Ring,Gold wire ring,Jewellery,,,,,1.8,,,,,,,,
116.5,116,VI,Gold,Ring,Gold wire ring,Jewellery,,,,,1.8,,,,,,,,
136,,Theta,Stone,Pendant,Crystal pendant,Jewellery,,,,,,,,,,,,,
137,,Theta,Stone,Seal,Seal-stone,Seal,,,,,,,LM,,,,,,Y
138,,Theta,Bronze,Pin,Bronze pins,Adornment,,,8.5,,,,,,,,,,
139,,Theta,Iron,,Iron fragments,Unidentified,,,,,,,,,,,,,
183,,XI,Bronze,Lebes,Bronze lebes,Vessel,O,,,,,14,,,,,,,
184,,XI,Bronze,Bowl,Bronze bowl,Vessel,O,,,,,13,,,,,,,
185,,XI,Bronze,Lebes,Small bronze lebes,Vessel,O,7,,,,14,,,,,,,
188,,XI,Bronze,Stand,Bronze tripod stand,Other,,17,,,,11.5,,10th cent,Y?,Cyprus,Y?,Cyprus,
190,,XI,Bronze,Cauldron,Bronze cauldron,Vessel,O,,,,,31,,,,,,,
191,,XI,Bronze,Spear head,Bronze spear head,Weapon,,,,,,,,,,,,,
192,,XI,Iron,Sword,Short iron sword,Weapon,,,35,1.8,,,,,,,,,
192.1,,XI,Iron,Strip,Mass of iron strips,Strip,,,,,,,,,,,,,
192.2,,XI,Iron,Spear,Iron spears,Weapon,,,43,,,,,,,,,,
192.3,,XI,Iron,Pin,Iron pin,Adornment,,,,,,,,,,,,,
192.4,,XI,Iron,Pin,Iron pin,Adornment,,,,,,,,,,,,,
192.5,,XI,Iron,Pin,Iron pin,Adornment,,,,,,,,,,,,,
192.6,,XI,Iron,Pin,Iron pin,Adornment,,,,,,,,,,,,,
193,,XI,Gold,Leaf,Disk of gold leaf,Unidentified,,,,,3.7,,,,,,,,
194,,XI,Paste,Necklace,Blue paste bead necklace,Jewellery,,,,0.1,0.8,,EPG,,Y,Near East? Cyprus? Egypt?,,,
194.1,,XI,Stone,Bead,Five carnelian beads,Jewellery,,,,,0.8,,EPG,,Y,Egypt?,,,
195,,XI,Bone,Pin,Bone pin,Adornment,,,,,,,,,,,,,
196,,XI,Gold,Necklace,Gold necklace,Jewellery,,,1.75,,0.35,,,,,,,,
197,,XI,Shell,,Small shell,Organics,,,1.8,,,,,,,,,,
198,,XI,Bronze,Fibula,Fragmentary bronze fibula,Adornment,,3,6,,,,,,,,,,
199,,XI,Bone,Pendant,Ivory pendant,Jewellery,,2.1,,1.4,,,EPG,,Y,Near East,,,
200,,XI,Clay,Spindle whorl,Terracotta spindle whorl,Loom,,1.6,,,3.3,,,,,,,,
201,,XI,Lead,Animal,Lead model lion,Model,,1.4,3.3,9,,,EPG,,Y,Syria,,,
202,,XI,Gold,Ring,Fine gold wire ring,Jewellery,,,,,1.6,,,,,,,,
203,,XI,Iron,Spit,Iron spits,Weapon/Cooking,,,,,,,,,Y?,Cyprus,Y?,Cyprus,
204,,XI,Bone,Pin,Ivory pinhead,Adornment,,,1.2,,,,EPG,,Y,Near East,,,
249,,III,Bronze,Pin,Plain bronze pin,Adornment,,,6.3,,,,,,,,,,
250,,III,Bronze,Pin,Bronze pin,Adornment,,,9.6,,,,PG,,Y,Attica?,,,
250.1,,III,Bronze,Pin,Bronze pin,Adornment,,,9.6,,,,PG,,Y,Attica?,,,
251,,III,Bronze,Pin,Bronze pin,Adornment,,,,,,,PG,,Y,Attica?,,,
251.1,,III,Bronze,Pin,Bronze pin,Adornment,,,,,,,PG,,Y,Attica?,,,
262,,IX,Unknown,Bead,Beads,Jewellery,,,,,,,,,,,,,
263,,IX,Bronze,Fibula,Bronze fibula,Adornment,,2.2,4.5,,,,,,,,,,
263.1,,IX,Bronze,Fibula,Bronze fibula,Adornment,,3.6,6.5,,,,,,,,,,
264,,IX,Faience,Figurine,Fragmentary faience figurine,Model,,,2.2,0.9,,,PG,,Y,Egypt? Phoenicia?,,,
334,,L,Unknown,,Black conoid object,Other,,,,,,,,,,,,,
335,,L,Iron,Spear,Iron spear,Weapon,,,,,,,,,,,,,
336,,L,Gold,Diadem,Gold diadem or band,Jewellery,,,10,2.7,,,,mid-9th cent,Y,Cyprus,,,
337,,L,Iron,Blade,Various iron blades,Weapon,,,,,,,,,,,,,
338,,L,Bronze,Pin,Bronze pin fragment,Adornment,,,,,,,,,,,,,
377,,OD,Gold,Leaf,Cylinder of gold leaf,Unidentified,,,1.85,,2,,,,,,,,
378,,OD,Bronze,Pin,Fine bronze pin,Adornment,,,4.5,,0.2,,,,,,,,
404,,LST,Glass,Bead,Glass bead,Jewellery,,,,,1.1,,,,,,,,
542,,X,Clay,Model,Clay boat model,Model,,,11,6.5,,,,,,,,,
543,,X,Clay,Model,Clay basket model,Model,,7,,,10,,,,,,,,
544,,X,Clay,Animal,Clay snake in bowl,Model,,,,,3.4,,,,,,,,
545,,X,Clay,Animal,Clay quadruped,Model,,,6.5,,,,,,,,,,
546,,X,Clay,Model,Clay tree model,Model,,12.5,,,,,,,,,,,
547,,X,Clay,Model,Clay tree model,Model,,10.8,,,,,,,,,,,
548,,X,Clay,Animal,Clay bird model,Model,,4,4,,,,,,,,,,
549,,X,Clay,Animal,Clay bird model,Model,,3.3,,3.3,,,,,,,,,
550,,X,Clay,Animal,Clay bird model,Model,,,,,,,,,,,,,
550.1,,X,Clay,Animal,Clay bird model,Model,,,,,,,,,,,,,
550.2,,X,Clay,Animal,Clay bird model,Model,,,,,,,,,,,,,
550.3,,X,Clay,Animal,Clay bird model,Model,,,,,,,,,,,,,
550.4,,X,Clay,Animal,Clay bird model,Model,,,,,,,,,,,,,
557,,X,Iron,Pin,Iron pin,Adornment,,,10,,,,,,,,,,
558,,X,Bronze,Fibula,Bronze spectacle fibula,Adornment,,,5.5,,,,,c.800,Y,Italy,,,
559,,X,Iron,Pin,Iron pin,Adornment,,,10,,,,,,,,,,
559.1,,X,Iron,Pin,Iron pin,Adornment,,,11,,,,,,,,,,
559.2,,X,Iron,Pin,Iron pin,Adornment,,,12,,,,,,,,,,
560,,X,Bronze,Vase,Fragments of bronze vase,Vessel,,,,,,,,,,,,,
561,,X,Bronze,Tweezers,Bronze tweezers,Tool,,,7,,,,,,,,,,
562,,X,Iron,Sword,Iron short sword,Weapon,,,33,3.5,,,,,,,,,
563,,X,Iron,Spear,Iron spear head,Weapon,,,30,2.7,,,,,,,,,
564,,X,Amber,Bead,About 70 amber beads,Jewellery,,,,,0.6,,,,Y,Baltic,,,
565,,X,Stone,Whetstone,Dark green whetstone,Tool,,0.25,7.1,1.5,,,,,,,,,
566,,X,Iron,Sword,Iron short sword,Weapon,,,28.5,3.5,,,,,,,,,
567,,X,Iron,Blade,Small iron blade,Weapon,,,17,2,,,,,,,,,
568,,X,Iron,Spike,Fragmentary iron spike,Unidentified,,,6.5,,,,,,,,,,
568.1,,X,Iron,Spike,Fragmentary iron spike,Unidentified,,,,,,,,,,,,,
569,,X,Gold,Leaf,Cylindrical strip of gold leaf,Unidentified,,,,1.5,1.8,,,,,,,,
